row,col,value
7,7,0.41181089658557024
4,35,0.4087831094286971
8,5,0.21762852669696198
17,17,0.5883062484090082
23,34,0.3170409113172379
8,1,0.0360598342773637
25,19,0.4184000441568604
8,30,0.4741326750901703
22,22,0.22559286820421098
14,4,0.5724579331221157
24,11,0.5657719004319209
5,19,0.7020021811103714
12,6,0.64794848220121
8,13,0.6524330565210316
0,5,0.3162141518240431
20,17,0.7874322219859539
25,12,0.5491443835996794
2,11,0.4314181951798901
29,36,0.6260124809410571
16,21,0.3606573344502543
8,38,0.5127392446067582
23,5,0.7367056884822203
17,26,0.8864028867237077
18,16,0.9210571972951916
21,22,0.5036329251830992
24,29,0.5202751147405691
7,31,0.7998704107638365
3,2,0.31445069174420126
19,31,0.8373823623450686
7,15,0.4941416465174234
3,19,0.11585672433526839
14,17,0.0720591470729437
20,11,0.8419932110394631
27,30,0.0555679169068779
24,21,0.2806114361336559
14,19,0.3341300405015458
16,37,0.1729944451915938
10,23,0.31389336980198923
2,37,0.7426925667250857
6,23,0.014682843560070769
7,6,0.8271734245206864
15,26,0.8565480235745582
22,5,0.3722615731915482
25,4,0.1536128990606348
3,8,0.6008404079450809
11,27,0.11967255586489434
0,15,0.3649193610782525
19,17,0.9584291809009724
9,8,0.9954644725836371
0,22,0.7721048913545856
11,33,0.3109615099207662
8,0,0.6876650491660925
22,33,0.7054063654840127
14,10,0.38784169516364975
5,0,0.6408886345861594
7,34,0.010727644975676243
13,35,0.20905765860224146
16,5,0.5250883029672612
21,20,0.16375130425829587
4,24,0.16590686787653364
25,34,0.8363042905502379
11,22,0.9891330026836055
14,11,0.5559694280284484
0,28,0.8390697308817134
5,14,0.9903216643262726
9,7,0.1415958885687747
13,6,0.4482456132543511
13,37,0.3925727158419199
2,3,0.08004928364618502
0,30,0.7553301727947445
22,21,0.433779027322593
0,27,0.4693269341904013
14,16,0.15067297381324019
24,28,0.18092665223086812
11,10,0.907103622156215
6,32,0.04464908897427888
29,27,0.23285228494370624
28,8,0.29205933031452835
22,38,0.4901975424015864
21,28,0.5864451730147959
1,5,0.4932899758506666
11,6,0.08411533455688203
2,17,0.24366745405571355
14,32,0.8435883847625412
4,6,0.6375887004784591
14,29,0.6491490501342744
5,33,0.6702032553513549
15,10,0.7629030190395291
27,26,0.058108481721447336
21,18,0.3666083849326124
16,33,0.5395274352616787
19,19,0.338456483297326
7,24,0.8444788732871865
18,21,0.48257250858729395
14,35,0.7686275894593791
28,6,0.852015516881169
20,28,0.5047914829034981
2,16,0.9095522438713499
10,3,0.5871239405369806
5,17,0.8502742988337217
7,18,0.3405907955915243
18,25,0.4988169585314852
15,37,0.5314110410045777
0,8,0.10497971589607058
17,27,0.39855250670154063
1,21,0.9173376725516761
8,6,0.6308322403647424
16,29,0.17750658243696749
26,37,0.33885563560960497
5,25,0.19160300966269983
7,14,0.02482313179857254
7,39,0.9274604585040267
19,8,0.4482073282568715
19,36,0.30753507242078615
22,0,0.5984771915577366
17,4,0.0073144562930156365
4,38,0.27802210660081383
7,21,0.7030334656988926
10,13,0.633769773069263
27,17,0.9818059475425355
8,39,0.620357709658044
15,14,0.4775058736277328
26,1,0.7614325631840076
13,9,0.9033278719640531
6,21,0.7206959467183516
26,25,0.9632112235493796
16,27,0.7820051707381772
0,35,0.8668014382619265
25,25,0.11410407118363719
26,12,0.7324135029937877
27,16,0.4400886995273686
27,25,0.5531038024112752
29,28,0.6541024094823568
28,15,0.9698151167055694
24,36,0.9845780814316246
28,21,0.28822824548790527
6,9,0.7337534974379162
28,36,0.7499835379352686
6,25,0.3464928613130488
16,28,0.12386977486422102
28,14,0.04094696028571976
20,23,0.7773431275291786
7,12,0.4896997418169059
25,10,0.9855401694949262
22,19,0.46497345619365305
22,23,0.9779169790738402
16,3,0.4115760021940599
7,25,0.7936821505599726
10,18,0.08481927231183206
6,12,0.5554617101377639
18,2,0.8020597869857242
29,18,0.9247016672198887
17,28,0.8225830906174316
26,30,0.036970727201174225
27,28,0.3727023413067342
18,24,0.04869847231385127
10,34,0.109282291114558
11,16,0.6753056286674841
29,20,0.7132581963116982
24,4,0.7737206827516263
20,35,0.8654565480556629
14,3,0.7394314684765099
22,4,0.8008715921066321
2,19,0.048963709823279244
20,34,0.23453515044129858
5,28,0.6218977733752458
24,22,0.8581253046248232
16,36,0.0045001249396591225
3,22,0.5146293421163498
16,26,0.6772873993643972
17,34,0.029607289128613212
20,18,0.4013555575533879
7,28,0.8956348813836968
1,23,0.6716128088558587
9,35,0.2376583633605973
28,37,0.8527811296319127
1,15,0.3480314234095143
15,27,0.8533446711440594
28,28,0.29894365111890553
11,3,0.590320250883149
