row,col,value
18,10,0.8262919241943578
2,15,0.8961607718397667
6,16,0.14024908899861077
41,22,0.5540361435390494
3,18,0.10857574113544355
44,11,0.6722400930398117
10,10,0.2812337838390083
25,3,0.6594226346919018
39,18,0.7269946142868826
1,14,0.768647491917657
9,11,0.10774094595589656
46,12,0.9160118451376079
15,29,0.23021399089488082
33,25,0.03741255617617978
29,19,0.5548524693914834
31,24,0.37092228386243875
34,29,0.8297897431324132
40,14,0.8082514720643018
48,24,0.31713889282271535
33,16,0.952899395069745
8,10,0.2909178381401186
46,6,0.5150571292317145
5,27,0.25596509056760275
19,19,0.9360435700489633
17,10,0.16460781758201815
12,8,0.04491061939232899
47,25,0.43509706000303794
5,20,0.992375564055837
20,2,0.891677266254914
39,21,0.7486080194569492
21,13,0.8907924908785249
1,21,0.8934466396978632
0,7,0.5188583603864491
31,11,0.315929051830793
35,13,0.772012432110988
46,17,0.6616612631677611
5,4,0.37365772887371007
37,1,0.09446666806151527
20,16,0.746789611349026
14,6,0.2624605159228647
8,24,0.9368131505337792
47,18,0.24097057500568475
33,19,0.12275793241148603
11,12,0.8311126721249061
44,23,0.15328431662449404
22,12,0.1792683081577391
21,9,0.5993827915208435
9,23,0.8745620408374645
26,29,0.19643466571457324
38,13,0.31032367290009477
37,16,0.7774048382411776
5,13,0.9718264260609674
28,19,0.5007411862023423
29,4,0.14389750255125078
36,11,0.013936287708201545
10,0,0.22965602999885526
48,22,0.13182221778652103
14,23,0.6776586736128575
45,22,0.12183250462853112
30,4,0.506329931620633
36,22,0.6942624356428865
22,29,0.5811166092209024
33,22,0.19977565166005762
8,13,0.8041245261822627
46,27,0.7154071296158017
34,16,0.7389840039155418
14,21,0.13105775155731325
46,20,0.12375380365034461
45,26,0.9275625510065076
27,2,0.39757819382494064
19,23,0.30094869178093975
39,2,0.4885840453515333
25,19,0.6628642127635824
13,19,0.9556232570469699
34,2,0.286446226882055
24,6,0.9248084293120271
23,21,0.024859491386256316
49,13,0.5551980423268247
4,1,0.6339751116810851
16,14,0.1058974037507533
35,3,0.14033959706391264
2,4,0.41911431931630383
23,5,0.9662319121431817
16,2,0.5960425532343728
27,29,0.9330232216002112
44,13,0.8043609156129707
28,17,0.4673816015552915
16,13,0.7847634492521874
26,25,0.017836783976987736
23,25,0.10914399676573494
30,22,0.8294286148827363
24,21,0.7968170883251617
27,12,0.2326407419664337
20,6,0.5307695905990535
25,27,0.6060158207000109
18,3,0.8677389537760112
25,10,0.6031071573387257
48,18,0.4125715692736803
48,23,0.3741840434071827
40,23,0.4258820863735099
38,19,0.6519310255799742
29,24,0.8674906317523249
2,20,0.45389688207629975
38,1,0.24783956295135812
28,2,0.23666236299758114
40,5,0.7460142802434464
34,7,0.8165687634239104
11,9,0.10527807985412496
8,2,0.06655885695517816
28,13,0.5944336637564518
17,15,0.14617324419269828
4,11,0.8246641904563413
29,16,0.31033467392407443
10,7,0.14387193297114265
22,5,0.9209704724874502
11,25,0.16553172273527816
26,12,0.28472008233793555
47,20,0.15361339519205863
10,12,0.11549006366535497
12,16,0.021148016336440034
1,26,0.05539540916426011
30,23,0.1746414709358527
17,12,0.05338193262717539
4,22,0.5911438161109712
17,4,0.6807145267995064
49,8,0.39363045683202824
10,23,0.3179910969520494
22,18,0.5045262370222301
28,26,0.8750049422346086
38,20,0.851131626822206
35,17,0.04347506201279194
44,1,0.18149840959652408
0,5,0.23674487110439602
1,1,0.24938757583221183
29,20,0.5712326517427727
45,0,0.4162624257031923
11,1,0.04925411992759399
19,15,0.3736141384595716
14,24,0.5237529487176372
0,13,0.10167190290371597
4,8,0.8334585537885597
19,5,0.051961866465104256
7,19,0.9248418690180621
49,22,0.0991131415798755
16,8,0.8435749515977528
18,27,0.9026531439276171
44,9,0.9795706805865927
1,9,0.8020258802735936
5,21,0.7794775407713289
49,16,0.6424832759955477
